canonical_candidate_id,person_id,election_cycle,environment_resources,immigration_inclusion,institutional_reform,labor_capital,market_government_direction,material_support,order_justice,social_liberty_equality,families_observed,policies_observed,evidence_rows
AL-2006-house-88-R-H-MAC-GIPSON,ALPERSON-H-MAC-GIPSON,2006.0,0.0,,,,0.3333333333333333,0.0,0.6428571428571429,-0.25,5,23,25
AL-2006-house-9-D-RONALD-GRANTLAND,ALPERSON-RONALD-GRANTLAND,2006.0,0.0,,,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0,6,27,30
AL-2006-house-92-R-WILLIAM-E-BLOCKER,ALPERSON-WILLIAM-E-BLOCKER,2006.0,0.0,,,,0.0,0.0,0.6875,-0.6666666666666666,5,22,24
AL-2006-house-93-D-JOHN-WILLIAMS,ALPERSON-JOHN-WILLIAMS,2006.0,0.5,,,1.0,0.3333333333333333,0.5833333333333334,0.45454545454545453,0.09090909090909091,6,33,35
AL-2006-house-94-D-GENE-PONDER,ALPERSON-GENE-PONDER,2006.0,0.0,,,1.0,0.0,-0.375,0.3333333333333333,-0.1111111111111111,6,23,25
AL-2006-house-95-D-FRANK-CAMP,ALPERSON-FRANK-CAMP,2006.0,1.0,,,1.0,1.0,1.0,0.0,0.7142857142857143,6,23,26
AL-2006-senate-11-R-JIM-HETHCOX,ALPERSON-JIM-HETHCOX,2006.0,,,,,-1.0,0.3333333333333333,0.2,0.0,4,11,11
AL-2006-senate-16-D-RUSS-PARKER,ALPERSON-RUSS-PARKER,2006.0,0.5,,,1.0,1.0,0.8571428571428571,0.07142857142857142,0.8,6,28,31
AL-2006-senate-18-R-STANLEY-NANCE,ALPERSON-STANLEY-NANCE,2006.0,0.0,,,,,0.0,-0.5,-1.0,4,7,9
AL-2006-senate-27-D-T-D-TED-LITTLE,ALPERSON-T-D-TED-LITTLE,2006.0,0.5,,,,0.3333333333333333,0.5,0.5555555555555556,0.0,5,28,29
AL-2006-senate-27-R-PEGGY-MARTIN,ALPERSON-PEGGY-MARTIN,2006.0,-0.5,,,,0.3333333333333333,0.625,0.7142857142857143,0.0,5,23,25
AL-2006-senate-9-R-BILL-INGRAM,ALPERSON-BILL-INGRAM,2006.0,0.5,,,1.0,0.3333333333333333,0.3,0.35,0.16666666666666666,6,32,35
AL-2010-house-14-D-KEN-GUIN,ALPERSON-KEN-GUIN,2010.0,0.0,-1.0,,1.0,0.0,-0.625,0.875,-0.3076923076923077,7,35,37
AL-2010-house-21-R-JIM-PATTERSON,ALPERSON-JIM-PATTERSON,2010.0,-0.75,-1.0,,1.0,-0.3333333333333333,-0.5,0.75,-0.3333333333333333,7,33,35
AL-2010-house-30-D-WALLY-BURNS,ALPERSON-WALLY-BURNS,2010.0,0.0,-1.0,,1.0,0.0,-0.5,0.875,-0.07692307692307693,7,35,37
AL-2010-house-32-R-RON-STRUZIK,ALPERSON-RON-STRUZIK,2010.0,0.0,-1.0,,-1.0,0.0,-0.375,1.0,-0.9230769230769231,7,35,37
AL-2010-house-37-D-RICHARD-LAIRD,ALPERSON-RICHARD-LAIRD,2010.0,-0.4,-1.0,,1.0,-0.3333333333333333,-0.625,0.875,-0.3076923076923077,7,35,37
AL-2010-house-40-R-K-L-KOVEN-BROWN,ALPERSON-K-L-KOVEN-BROWN,2010.0,0.0,-1.0,,-1.0,0.3333333333333333,0.0,0.75,-0.38461538461538464,7,35,37
AL-2010-house-45-D-CHARLENE-CANNON,ALPERSON-CHARLENE-CANNON,2010.0,0.6,-1.0,,1.0,0.3333333333333333,0.0,0.375,0.5384615384615384,7,35,37
