source_row_id,target_norm,match_method,match_score,score_margin
345,MOLLOY BETTS,exact,100.0,100.0
346,VERNON ARMORY EAST,exact,100.0,100.0
347,TRULL,exact,100.0,100.0
348,BEAVERTON CITY HALL SOUTH,exact,100.0,100.0
349,GUIN MOUNT OLIVE,exact,100.0,100.0
350,FAIRVIEW SIZEMORE,exact,100.0,100.0
351,CREWS METHODIST CHURCH,fuzzy,95.0,50.0
352,DETROIT CITY HALL,exact,100.0,100.0
353,BEAVERTON CITY HALL NORTH,exact,100.0,100.0
354,BLOOMING GROVE,exact,100.0,100.0
355,CROSSVILLE LAWRENCE,exact,100.0,100.0
356,MILLPORT LIBRARY,exact,100.0,100.0
357,PINE SPRINGS,exact,100.0,100.0
358,BEDFORD MILITARY,exact,100.0,100.0
359,STAR COMMUNITY CENTER,exact,100.0,100.0
360,HIGHTOGY RIDGE,exact,100.0,100.0
361,VAILS,exact,100.0,100.0
362,FIRST PRESBYTERIAN CHURCH,fuzzy,95.0,41.97674418604652
363,FLORENCE FIRST BAPTIST,exact,100.0,100.0
364,,unmatched,78.57142857142857,18.571428571428562
365,SAND ROCK TOWN HALL,exact,100.0,100.0
366,,unmatched,86.89655172413794,1.396551724137936
367,,unmatched,85.5,0.0
368,THE VALLEY CHURCH,fuzzy,95.0,9.5
369,SHADY GROVE CHURCH,exact,100.0,100.0
370,INVERNESS,exact,100.0,100.0
371,ABERFOIL,exact,100.0,100.0
372,INDIAN CREEK,exact,100.0,100.0
373,POST OAK,exact,100.0,100.0
374,SARDIS,exact,100.0,100.0
375,CORINTH,exact,100.0,100.0
376,PEROTE,exact,100.0,100.0
377,MIDWAY,exact,100.0,100.0
378,GUERRYTON,exact,100.0,100.0
379,PEACHBURG,exact,100.0,100.0
380,CANOE CIVIC CLUB,exact,100.0,100.0
381,,unmatched,85.5,0.0
382,ATMORE CITY HALL,exact,100.0,100.0
383,,unmatched,85.5,0.0
384,LITTLE ROCK STORE,exact,100.0,100.0
385,COUNTY HWY DEPARTMENT,exact,100.0,100.0
386,ANTIOCH CHURCH,exact,100.0,100.0
387,MEEKSVILLE VOLUNTEER FIRE,fuzzy,95.0,8.63636363636364
388,FIRST UNITED METHODIST,exact,100.0,100.0
389,ATMORE PUBLIC LIBRARY,exact,100.0,100.0
390,,unmatched,90.0,24.545454545454533
391,VALLEY,exact,100.0,100.0
