cycle,chamber,district,baseline_low,baseline_high,baseline_mean,baseline_scenario_sd,baseline_range
2018,house,1,-19.411395006249695,-19.41139500624969,-19.41139500624969,1.7763568394002505e-15,3.552713678800501e-15
2018,house,2,-44.92114251671434,-44.92114251671434,-44.92114251671434,0.0,0.0
2018,house,3,-12.930224303630272,-12.93022430363027,-12.930224303630272,8.881784197001252e-16,1.7763568394002505e-15
2018,house,4,-40.80981986732912,-40.80981986732911,-40.80981986732911,3.552713678800501e-15,7.105427357601002e-15
2018,house,5,-38.35670086126103,-38.35670086126103,-38.35670086126103,0.0,0.0
2018,house,6,-16.2238314865691,-16.2238314865691,-16.2238314865691,0.0,0.0
2018,house,7,-46.510029163902985,-46.510029163902985,-46.510029163902985,0.0,0.0
2018,house,8,-23.466112031085746,-23.466112031085743,-23.466112031085746,1.7763568394002505e-15,3.552713678800501e-15
2018,house,9,-59.24193088320206,-59.24193088320206,-59.24193088320205,0.0,0.0
2018,house,10,-8.426385859034525,-8.426385859034522,-8.426385859034522,1.7763568394002505e-15,3.552713678800501e-15
2018,house,11,-70.32416360711922,-70.32416360711922,-70.32416360711922,0.0,0.0
2018,house,12,-67.96113263756042,-67.96113263756042,-67.96113263756042,0.0,0.0
2018,house,13,-55.421771174603144,-55.421771174603144,-55.421771174603144,0.0,0.0
2018,house,14,-58.299165601650415,-58.29916560165039,-58.299165601650394,1.2809491335957507e-14,2.842170943040401e-14
2018,house,15,-12.331776386909658,-12.331776386909649,-12.33177638690965,4.070144838902081e-15,8.881784197001252e-15
2018,house,16,-48.94973345524528,-48.94973345524527,-48.94973345524527,3.552713678800501e-15,7.105427357601002e-15
2018,house,17,-63.63534632433005,-63.63534632433005,-63.63534632433006,0.0,0.0
2018,house,18,-38.77581471214214,-38.77581471214214,-38.77581471214214,0.0,0.0
2018,house,19,32.173280047872794,32.173280047872794,32.173280047872794,0.0,0.0
2018,house,20,-25.67309649907478,-25.67309649907478,-25.67309649907478,0.0,0.0
2018,house,21,-15.3676111760158,-15.367611176015798,-15.3676111760158,8.881784197001252e-16,1.7763568394002505e-15
2018,house,22,-42.09953207359135,-42.09953207359135,-42.09953207359135,0.0,0.0
2018,house,23,-51.946962004857085,-51.946962004857085,-51.946962004857085,0.0,0.0
2018,house,24,-61.70009179072096,-61.70009179072096,-61.70009179072097,0.0,0.0
2018,house,25,-14.989257719794718,-14.989257719794715,-14.989257719794717,1.7763568394002505e-15,3.552713678800501e-15
2018,house,26,-64.72590730400604,-64.72590730400604,-64.72590730400604,0.0,0.0
2018,house,27,-64.79213179800645,-64.79213179800644,-64.79213179800645,7.105427357601002e-15,1.4210854715202004e-14
2018,house,28,-7.564861828961876,-7.564861828961872,-7.564861828961876,1.6011864169946884e-15,3.552713678800501e-15
2018,house,29,-53.57792216074378,-53.57792216074377,-53.57792216074377,7.105427357601002e-15,1.4210854715202004e-14
2018,house,30,-57.705344539219745,-57.705344539219745,-57.705344539219745,0.0,0.0
2018,house,31,-50.94195361482867,-50.94195361482867,-50.94195361482867,0.0,0.0
2018,house,32,-26.8407358420492,-26.8407358420492,-26.840735842049195,0.0,0.0
2018,house,33,-20.577704825198808,-20.577704825198808,-20.577704825198808,0.0,0.0
2018,house,34,-72.44957002198962,-72.44957002198962,-72.44957002198962,0.0,0.0
2018,house,35,-32.12868524445894,-32.12868524445894,-32.12868524445894,0.0,0.0
2018,house,36,-40.11048229204028,-40.110482292040274,-40.110482292040274,3.552713678800501e-15,7.105427357601002e-15
2018,house,37,-36.36599732443499,-36.36599732443499,-36.36599732443499,0.0,0.0
2018,house,38,-30.66715921558091,-30.66715921558091,-30.66715921558091,0.0,0.0
2018,house,39,-60.2490238903473,-60.24902389034729,-60.24902389034729,7.105427357601002e-15,1.4210854715202004e-14
2018,house,40,-31.980982564139538,-31.980982564139538,-31.980982564139538,0.0,0.0
2018,house,41,-44.026681742061086,-44.02668174206107,-44.02668174206108,7.105427357601002e-15,1.4210854715202004e-14
2018,house,42,-56.14246957585093,-56.14246957585093,-56.14246957585093,0.0,0.0
2018,house,43,-35.82754467638998,-35.82754467638997,-35.82754467638997,3.552713678800501e-15,7.105427357601002e-15
2018,house,44,-17.166898181175853,-17.166898181175853,-17.166898181175853,0.0,0.0
2018,house,45,-28.47657012838012,-28.47657012838011,-28.476570128380114,4.699798436761765e-15,1.0658141036401503e-14
2018,house,46,-5.071939536715974,-5.071939536715964,-5.071939536715965,4.741575244451873e-15,1.0658141036401503e-14
2018,house,47,2.5577546389024284,2.557754638902442,2.5577546389024395,6.125373197167204e-15,1.3766765505351941e-14
2018,house,48,-18.948050081769185,-18.948050081769175,-18.948050081769175,4.699798436761765e-15,1.0658141036401503e-14
2018,house,49,-39.151349518454,-39.151349518454,-39.151349518454,0.0,0.0
2018,house,50,-57.491853536558835,-57.49185353655882,-57.49185353655882,7.105427357601002e-15,1.4210854715202004e-14
2018,house,51,-39.39078893039282,-39.39078893039282,-39.39078893039282,0.0,0.0
2018,house,52,55.85758931233248,55.85758931233248,55.85758931233248,0.0,0.0
