state,year,chamber,district,dem_votes,rep_votes,dem_margin
GA,2016,house,173,8021.0,12578.0,-22.12243312782174
GA,2016,house,174,,15128.0,
GA,2016,house,175,,19531.0,
GA,2016,house,176,,14891.0,
GA,2016,house,177,9226.0,5104.0,28.76482903000698
GA,2016,house,178,,17354.0,
GA,2016,house,179,,17055.0,
GA,2016,house,180,,16168.0,
GA,2016,senate,1,,59151.0,
GA,2016,senate,2,54264.0,,
GA,2016,senate,3,,53872.0,
GA,2016,senate,4,,54539.0,
GA,2016,senate,5,35586.0,,
GA,2016,senate,6,39201.0,42338.0,-3.8472387446497995
GA,2016,senate,7,,48481.0,
GA,2016,senate,8,20661.0,37237.0,-28.629659055580504
GA,2016,senate,9,,65094.0,
GA,2016,senate,10,70764.0,,
GA,2016,senate,11,,49068.0,
GA,2016,senate,12,48863.0,,
GA,2016,senate,13,15267.0,43534.0,-48.072311695379334
GA,2016,senate,14,,63251.0,
GA,2016,senate,15,44076.0,,
GA,2016,senate,16,,66383.0,
GA,2016,senate,17,32772.0,48444.0,-19.296690307328607
GA,2016,senate,18,,60751.0,
